iteration,waiting percentage
1,33.52601156069364
2,34.55056179775281
3,34.21828908554572
4,33.82352941176471
5,34.61538461538461
6,34.94318181818182
7,34.68208092485549
8,33.43023255813954
9,33.91812865497076
10,33.53658536585366
11,35.15151515151515
12,32.743362831858406
13,34.023668639053255
14,33.98876404494382
15,34.21052631578947
16,34.166666666666664
17,34.285714285714285
18,33.939393939393945
19,35.22727272727273
20,35.174418604651166
21,34.48275862068966
22,33.33333333333333
23,33.72781065088758
24,35.38011695906433
25,33.42857142857143
26,33.92857142857143
27,34.82142857142857
28,34.104046242774565
29,45.149253731343286
30,34.85714285714286
