iteration,waiting percentage
1,24.612403100775193
2,24.708171206225682
3,24.577861163227016
4,24.81203007518797
5,24.705882352941178
6,24.643584521384927
7,24.390243902439025
8,24.71698113207547
9,24.423076923076923
10,24.547283702213278
11,24.448529411764707
12,24.4140625
13,24.763705103969755
14,24.59016393442623
15,24.680851063829788
16,24.665391969407267
17,24.606299212598426
18,24.61832061068702
19,24.760076775431862
20,24.703557312252965
21,24.550898203592812
22,24.521072796934863
23,24.6
24,24.904214559386972
25,24.615384615384617
26,24.758220502901356
27,24.67289719626168
28,24.470134874759154
29,24.8
30,24.652087475149106
