iteration,waiting percentage
1,32.59668508287293
2,31.31578947368421
3,31.62393162393162
4,31.53409090909091
5,44.53125
6,32.065217391304344
7,32.758620689655174
8,31.63841807909605
9,33.52272727272727
10,44.31818181818182
11,43.984962406015036
12,33.42696629213483
13,33.23863636363637
14,32.33695652173913
15,32.71276595744681
16,32.71276595744681
17,32.94460641399417
18,33.80681818181818
19,32.93413173652694
20,33.14917127071823
21,32.16216216216216
22,33.24175824175824
23,32.32044198895028
24,31.521739130434785
25,32.0
26,32.67045454545455
27,31.550802139037433
28,32.972972972972975
29,33.33333333333333
30,31.283422459893046
