iteration,waiting percentage
1,33.14917127071823
2,32.01058201058201
3,32.857142857142854
4,32.64705882352941
5,32.07070707070707
6,32.240437158469945
7,32.7683615819209
8,32.7683615819209
9,31.72043010752688
10,30.456852791878177
11,32.12435233160622
12,31.818181818181817
13,33.78378378378378
14,31.989247311827956
15,31.868131868131865
16,32.7683615819209
17,33.51063829787234
18,32.369942196531795
19,32.86516853932584
20,32.35294117647059
21,33.33333333333333
22,32.33695652173913
23,32.960893854748605
24,32.880434782608695
25,32.87292817679558
26,33.5195530726257
27,31.521739130434785
28,32.33695652173913
29,33.60215053763441
30,30.729166666666668
